,time,total_grid,bought_grid,excess_produced,compensated,compensation_rate,sold_grid,nighttime_bought_grid,wasted_production,temperature,temperature_diff,month,year,sun_factor,pv_produced,pv_self_consumed,consumption,pv_self_consumption_rate,production_consumption_ratio,self_sufficiency_ratio_total,self_sufficiency_ratio_daytime,wasted_production_rate
0,2023-01-01 00:00:00+02:00,36.59,36.59,0.0,0.0,0.0,0.0,31.19,0.0,-0.6,-21.6,jan,2023,5.729805213076107,0.0,0.0,36.59,0.0,0.0,0.0,0.0,0.0
1,2023-01-02 00:00:00+02:00,74.13,74.13,0.0,0.0,0.0,0.0,54.91,0.0,-2.22,-23.22,jan,2023,5.729170357143518,0.0,0.0,74.13,0.0,0.0,0.0,0.0,0.0
2,2023-01-03 00:00:00+02:00,56.72,56.72,0.0,0.0,0.0,0.0,42.15,0.0,-0.28,-21.28,jan,2023,5.895132514311468,0.0,0.0,56.72,0.0,0.0,0.0,0.0,0.0
3,2023-01-04 00:00:00+02:00,55.46,55.46,0.0,0.0,0.0,0.0,42.48,0.0,-3.97,-24.97,jan,2023,5.894355056219501,0.0,0.0,55.46,0.0,0.0,0.0,0.0,0.0
4,2023-01-05 00:00:00+02:00,58.26,58.26,0.0,0.0,0.0,0.0,48.03,0.0,-10.01,-31.01,jan,2023,5.893501291832824,0.0,0.0,58.26,0.0,0.0,0.0,0.0,0.0
5,2023-01-06 00:00:00+02:00,60.63,60.63,0.0,0.0,0.0,0.0,45.57,0.0,-9.29,-30.29,jan,2023,5.975900896797208,0.0,0.0,60.63,0.0,0.0,0.0,0.0,0.0
6,2023-01-07 00:00:00+02:00,61.25,61.25,0.0,0.0,0.0,0.0,44.27,0.0,-7.25,-28.25,jan,2023,5.97488311462443,0.0,0.0,61.25,0.0,0.0,0.0,0.0,0.0
7,2023-01-08 00:00:00+02:00,50.25,50.25,0.0,0.0,0.0,0.0,39.65,0.0,-5.41,-26.41,jan,2023,6.057110517120648,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0
8,2023-01-09 00:00:00+02:00,61.92,61.92,0.0,0.0,0.0,0.0,55.19,0.0,-3.36,-24.36,jan,2023,6.139245168256878,0.0,0.0,61.92,0.0,0.0,0.0,0.0,0.0
9,2023-01-10 00:00:00+02:00,48.23,48.23,0.0,0.0,0.0,0.0,35.63,0.0,-1.97,-22.97,jan,2023,6.137948839417445,0.0,0.0,48.23,0.0,0.0,0.0,0.0,0.0
10,2023-01-11 00:00:00+02:00,47.98,47.98,0.0,0.0,0.0,0.0,39.23,0.0,2.96,-18.04,jan,2023,6.219883277881925,0.0,0.0,47.98,0.0,0.0,0.0,0.0,0.0
11,2023-01-12 00:00:00+02:00,37.21,37.2,0.01,0.01,0.0,0.0,31.1,0.0,3.37,-17.63,jan,2023,6.218376365317326,0.3,0.29,37.49,0.9666666666666667,0.008002133902373965,0.01,0.05,0.0
12,2023-01-13 00:00:00+02:00,53.72,53.72,0.0,0.0,0.0,0.0,43.94,0.0,3.03,-17.97,jan,2023,6.383422666605121,0.6,0.6,54.32,1.0,0.011045655375552282,0.01,0.06,0.0
13,2023-01-14 00:00:00+02:00,60.97,60.97,0.0,0.0,0.0,0.0,44.15,0.0,3.92,-17.08,jan,2023,6.381682746392167,0.3,0.3,61.269999999999996,1.0,0.004896360372123388,0.0,0.02,0.0
14,2023-01-15 00:00:00+02:00,47.17,47.17,0.0,0.0,0.0,0.0,39.64,0.0,3.18,-17.82,jan,2023,6.463150727918684,0.2,0.2,47.370000000000005,1.0,0.004222081486172683,0.0,0.03,0.0
15,2023-01-16 00:00:00+02:00,59.99,59.99,0.0,0.0,0.0,0.0,43.9,0.0,2.7,-18.3,jan,2023,6.544486911636338,0.8,0.8,60.79,1.0,0.013160059220266493,0.01,0.05,0.0
16,2023-01-17 00:00:00+02:00,49.15,49.15,0.0,0.0,0.0,0.0,41.23,0.0,1.07,-19.93,jan,2023,6.625684674881843,0.4,0.4,49.55,1.0,0.008072653884964682,0.01,0.05,0.0
17,2023-01-18 00:00:00+02:00,55.51,55.51,0.0,0.0,0.0,0.0,45.08,0.0,1.39,-19.61,jan,2023,6.623404028590643,0.9,0.9,56.41,1.0,0.015954617975536253,0.02,0.08,0.0
18,2023-01-19 00:00:00+02:00,54.59,54.59,0.0,0.0,0.0,0.0,37.23,0.0,0.04,-20.96,jan,2023,6.7043047759801695,0.8,0.8,55.39,1.0,0.014443040259974725,0.01,0.04,0.0
19,2023-01-20 00:00:00+02:00,66.67,66.67,0.0,0.0,0.0,0.0,54.07,0.0,-3.24,-24.24,jan,2023,6.785046351742956,0.6,0.6,67.27,1.0,0.008919280511372083,0.01,0.05,0.0
20,2023-01-21 00:00:00+02:00,57.96,57.96,0.0,0.0,0.0,0.0,43.34,0.0,-3.25,-24.25,jan,2023,6.865621615799586,0.6,0.6,58.56,1.0,0.010245901639344262,0.01,0.04,0.0
21,2023-01-22 00:00:00+02:00,48.57,48.57,0.0,0.0,0.0,0.0,32.07,0.0,-4.38,-25.38,jan,2023,6.946023051733338,0.7,0.7,49.27,1.0,0.014207428455449561,0.01,0.04,0.0
22,2023-01-23 00:00:00+02:00,44.05,44.05,0.0,0.0,0.0,0.0,34.14,0.0,-2.22,-23.22,jan,2023,7.026242960068026,0.2,0.2,44.25,1.0,0.004519774011299435,0.0,0.02,0.0
23,2023-01-24 00:00:00+02:00,46.79,46.79,0.0,0.0,0.0,0.0,35.78,0.0,-0.2,-21.2,jan,2023,7.106273664097712,0.0,0.0,46.79,0.0,0.0,0.0,0.0,0.0
24,2023-01-25 00:00:00+02:00,42.46,42.46,0.0,0.0,0.0,0.0,30.52,0.0,3.14,-17.86,jan,2023,7.186107024860346,0.5,0.5,42.96,1.0,0.011638733705772812,0.01,0.04,0.0
25,2023-01-26 00:00:00+02:00,33.57,33.52,0.05,0.05,0.0,0.0,27.42,0.0,1.27,-19.73,jan,2023,7.265735089171175,1.9,1.8499999999999999,35.370000000000005,0.9736842105263158,0.05371783997738195,0.05,0.23,0.0
26,2023-01-27 00:00:00+02:00,50.82,50.82,0.0,0.0,0.0,0.0,39.08,0.0,-3.46,-24.46,jan,2023,7.345149625988371,0.9,0.9,51.72,1.0,0.01740139211136891,0.02,0.07,0.0
27,2023-01-28 00:00:00+02:00,56.32,56.32,0.0,0.0,0.0,0.0,35.48,0.0,-0.42,-21.42,jan,2023,7.341008977182786,0.3,0.3,56.62,1.0,0.005298481102084069,0.01,0.01,0.0
28,2023-01-29 00:00:00+02:00,60.05,60.05,0.0,0.0,0.0,0.0,44.2,0.0,0.19,-20.81,jan,2023,7.503304981249969,0.6,0.6,60.65,1.0,0.00989282769991756,0.01,0.04,0.0
29,2023-01-30 00:00:00+02:00,36.42,36.41,0.01,0.01,0.0,0.0,23.87,0.0,1.99,-19.01,jan,2023,7.498695586612728,1.7,1.69,38.099999999999994,0.9941176470588236,0.044619422572178484,0.04,0.12,0.0
